name,definition,type,group,examples,hashtags,origin,synonyms
З.Ы.,"послесловие, постскриптум то же самое, что и P.S.",аббрев. ,(интернет),"З. Ы. 20,68 миллионов - это почти половина населения Украины.  • З.Ы. Надеюсь с админом будет не так, как с веб-дезигнером.  • З.Ы. Учитесь на перспективу, а не на стипендию.  • З.Ы. Все итоговые суммы в таблице 6 должны соответствовать заполненным цифрам в таблице 1. ",#Интернет ,От набора на клавиатуре аббрев. P.S. (лат. Post Scriptum — после написанного) в русской раскладке.,ЗЫ
За бугром,"за границей государства, в другом государстве; чаще всего в смысле на Западе, в богатых, развитых странах.",NonNone,NonNone,"Он ща за бугром. • На данном сайте находятся ссылки только на сайты, размещённые за бугром.  • Блог о жизни за бугром.  • Русская тусовка за бугромю  • У кого есть на заметке забавные истории о наших за бугром? ",#Общие ,NonNone,NonNone
за падло,в ломы.,за падло ,(гопота),NonNone,#Гопники ,NonNone,лень.
Забазарить,заговорить в смысле начать разговор.,сов. неперех. ,(гопники),"(1) Я забазарил с одним из них, у него рожа была в натуре азиатская, хотя по прикиду скин.  • Те, кто плачутся и говорят о том, чтоб уехать уехав потом по другому забазарят! • Подвалил к ней, забазарил. • Забазарил пронзительным фальцетом.(2) Пока нам стаканы и закусь принесут, ты забазарь всю историю.  • Детишки, ща я вам сказку забазарю.(3) Хотелось бы за некоторые насущные для меня аспекты жизни забазарить.  • Олигархи в баньке забазарили новую цену на следующие пару месяцев. ",#Гопники ,NonNone,NonNone
Забазарить,"заговорить в смысле утомить разговором, надоесть, достать, убедить, уговорить; иногда в смысле обмануть, развести.","сов. перех., кого-л",NonNone,"Оказывался победителем тот, кому удавалось «забазарить» — заговорить своего соперника, заставив его сказать какую-то не подобающую «понятиям» фразу.  • Сдает студент, который умеет зачесать, забазарить.  • Короче, бабульку я забазарил и в целом договорился, хотя она отпиралась.  •  Я забазарил другана отвести меня домой.  • Забазарила до того, что он отдал ей все деньги из бумажника. ",#Общие ,NonNone,"достать, забазарить, задолбать, закумарить, замудохать, застремать, доканать."
Забалабасить,сделать по быстрому.,глагол ,(феня),Чаёк забалабасить. ,#Общие ,NonNone,NonNone
Забалдеть,придти в состояние алкогольного или наркотического опьянения.,сов. неперех.,NonNone,"(1) От таких капелек можно еще как забалдеть!  • Котэ забалдел от травки.  • Это надо такую дурь выкурить чтоб забалдеть.  • При покраске используйте респиратор, чтобы не забалдеть.  • Отлично забалдеть на хорошем кутеже!  • Нужна дурь, чтобы забалдеть.(2) Забалдев от весны.  • От общенья забалдев!  • Ой такая песня... я аж забалдела! ",#Общие ,NonNone,NonNone
Забанили,То есть заблокировали в игре на какое то время(например за читерство).,"Сущ,м. Р. ",(Геймеры),NonNone,#Геймеры #Общие ,NonNone,Заблокировали.
Забанить,"заблокировать, установить в софте форума, блога или т.п.",сов. перех. ,(интернет),NonNone,#Интернет ,NonNone,лишить права голоса.
Забацать,"сотворить, создать, совершить что-л.",сов. перех.,NonNone,Забацать установочную флеху линухи в мастдае. Забацать глубокий пост с псевдо-смыслом? ,#Общие ,NonNone,замутить.
Забацать,"сыграть что-нибудь, исполнить музыкальное произведение.",сов. перех. ,(муз.),Я хочу сколотить свою панк-группу и забацать сингл вместе с Fall Out Boy! ,#Музыка ,NonNone,NonNone
