name,definition,type,group,examples,hashtags,story,synonims
М.Я.У,"М-Менты
Я-Я
У-Убегаю.",Предложение ,"(Зэки,Уголовники)","
М.Я.У
М.Я.У

",#Тюремныйслэнг ,NonNone,NonNone
Ма-фа,"возглас выражения отрицательных эмоций, оценка ситуации как плохой.","междометие, предикатив, вводное слово, нескл.",NonNone,"Потерял деньги, ма-фа!  • Еееееееехааааааааааа выходной ма фа!  • Я те как репер реперу говорю: риал ёу ма фа!  • У ма фа, чувих, не надо так орать. •  Вот ма фа, а я то поклонник Сакреда, плохая новость! ",#Общие ,"Сокращ. искаж. англ. mother-fucker, означающего примерно то же самое.","ма фа, мафа"
Мабила,мобильный телефон.,NonNone,NonNone,Чиста мабила: са мной нада обращацца нежна! ,#Общие ,NonNone,мобила
Мабута,тип военной формы одежды для войск спецназа.,NonNone,NonNone,"Судя по госту указанному на бирке первого образца мабута появилась в 1973 году. • У нас тогда говорили: десантная хб-шка, чмошная хб-шка, а была еще «мабута».  • Брюки похоже «мабута», а куртка ведь «горка».  • Костюм СССР для войск СпН «Мабута» образца 1981 г.  • Костюм мабута офицерский на подстёжке ватной.  • Мабута —  это, вооще-то, такая форма одежды времён 70-90-х годов.  • Ателье предлогает вам приобрести,копию легендарного костюма для спецподразделений «мабута». ",#Общие ,NonNone,NonNone
Мабута,"Второстепенные, не боевые войска.",мабута ,(ариейское),Кто не прыгал с парашютом - называется Мабутой. ,#Общие ,NonNone,стройбат.
Мавашка,круговой удар ногой —  приём в восточных единоборствах.,"-и, ж. ",(спорт),"Рубанул его мавашкой в ухо в уровень гораздо выше собственной головы.  •  Мавашка в самом деле не мой удар.  • В каратэ мавашка пришла от Гиго Фунакоши.  • Классическую мавашку по ним бить действительно проблемно.  • А ты должен или уклониться и контратаковать мавашкой, или захватить и протащить. ",#Общие ,NonNone,NonNone
Мавер,Приветствие.,Сущ.,NonNone,Всем моим доггерам мавер. ,#Общие ,NonNone,NonNone
Мавр,"нерусский, инородец.","-а, м. ",(обзывательство),"Кругом чурки, даже если продавец славянка, система принадлежит мавру.  • Казахи, русские, аульные мавры или малограмотные русские.  • У нас своих казахов мавров хватает, с ними бы сначало разобраться, перевоспитать эдак.  • Казахов обзывают мамбетами и маврами, хотят чтобы Казахстан обратно вошел в состав Расеи, но их никто не убивает.  • 
Тупые гастербайтерские мойщики - мавры залили водой радиоблок.  • Эти тупые мавры, население деградированных, знающих три слова, из них два мата, которые ни разу не прочли историческую книгу. ",#Общие ,NonNone,"чурка, мамбет? деревенщина, быдло."
Мавринг,"техника игры на гитаре, при которой правой рукой играют на струнах как на фортепиано.","-а, м. ",(музыка),"Спасибо за советы, и про уроки, и про мавринг.  • Это не теппинг,господа, это мавринг.  • А это у него техника такая, в узких кругах «мавринг», вроде тэппинга но без использования медиатора.  • Это мавринг или тач-стайл.  • Вот например Мавринг - кто нибудь слыхал о таком стиле игры? ",#Музыка ,От имени автора этой техники рок-музыканта Сергея Маврина.,NonNone
Мавританец,"иноземец, нерусский.","-ца, м.",NonNone,"Ну, ты, мавританец!  •  Иди баранов паси мавританец!  • От этих мавританцев всего можно ожидать.  • Даже мавританцы,плохо говоря по-русски,при мне всегда по-русски говорили. • Большие магазины очень часто содержат мавританцы, так и зарождаются этнические диаспоры на рынках. ",#Общие ,NonNone,"мамбет, чурка."
Маг,"класс персонажа в ММоРПГ «World of Warcraft», который наносит очень сильные повреждения магией, в особенности по площади; имеет 3 ветки талантов (тайная магия, магия огня и магия холода); носит тряпичные доспехи.","-а, м. ","(геймеры, РПГ, Варкрафт)","Маг, бросай вара в овцу. • Мага с гильды попрошу открыть портал в Огри. ",#Геймеры #РПГ #Варкрафт ,"от англ. mage — маг, волшебник.","ДК, шаман, друль, прист"
Мага,Ты очень хороший человек.,Сущ. ж.р.,NonNone,NonNone,#Общие ,NonNone,NonNone
Магаз,"торговая точка — магазин, палатка, ларёк и т.п.","-а, м.",NonNone,"У нас в магазе всегда свежие овощи!  • «Закрою твой магаз, чурка!» — рычал инспектор какому-то китаёзе.  • Магаз — это не место для распространения пошлого видео!  • Магаз на горбухе где диски по 350 р. •  Советую сходить в магаз более или менее крупный.  • Покупал в интернет-магазе. ",#Общие ,Сокращение от магазин.,NonNone
Магаз,Магазин.,"сущ., м.р",NonNone,Я пошел в магаз. ,#Общие ,Сокр. От магазин.,NonNone
Маггот,фанат рок-группы «Slipknot» («Слипы»).,"-а, м. ",(субкультура),"Маггот это - человек который отвергает всё, идёт против всех и добивается цели любыми путями.  • Слипы мне по душе, но называца магготом... противно.  • Маггот - это термин, который придумал Джоуи когда смотрел на тысячную толпу фанатов на концерте, они ему напоминли жуков, личинок.  • Старт массовому погрому дал ди-джей банды, Сид Вайлсон (Sid Wilson), разбив переднее окно дома, и уже в течение пяти минут после этого магготами были разбиты все окна в доме. ",#Общие ,Так называет своих фанатов лидер «Слипов» Джои Джордисон.,"maggot, мэггот"
Магичка,"ролевая игра или сфера деятельности персонажа в игре, где моделируется  колдовство, магия .","-и, ж. ",(ролевики),NonNone,#Ролевики ,NonNone,NonNone
Магия,"сфера деятельности персонажей  в игре, которая предполагает условия существования и действия сверхсилы, сверхчеловеческих способностей.","-и, ж. ",(ролевики),NonNone,#Ролевики ,NonNone,NonNone
Мадара,"один из главных злодеев аниме, манги, игры ""Наруто"".","имя собственное, м.р. ",(анимешники),"Ты никогда не сможешь танцевать так, как Мадара. ",#Аниме ,NonNone,"Бог, Учиха, танцор от самого себя, ходячий секс."
маджамба,африканский черный глист.,NonNone,(кино),NonNone,#Общие ,NonNone,NonNone
маджанулся,"Человек к которому подошли и проверили его реакцию, если он дёрнулся то его бьют в плечо.","Сущ, м.р ",(Общество),NonNone,#школьники ,NonNone,NonNone
мадрэ,"То же, что и ""мама"".","сущ.,ж.р. ",(байкеры),NonNone,#Общие ,"Искажение слова ""мама"".",NonNone
Маёвец,студент или выпускник МАИ — Московского Авиационного Института.,"-ца, м. ",(студенты),"Студенты-маёвцы! Добро пожаловать в группу новой студенческой организации!  • Неккомерческий проект Маёвцев и им сочувствующих о родном институте.  • Один раз маёвец - маёвец до конца жизни.  • Когда стратегический бомбардировщик B-52 пролетает над Ленинградским Проспектом, маевцы? Все: - Сидят и пьют!  • Итак, если вы настоящий маишник... тьфу, маёвец...  • Сообщество создано для маёвцев (как известно, ex-маёвцев не бывает, потому что маёвец — это образ жизни) и сочувствующих.  • Очень часто меня жизнь сталкивает с маёвцами, причем в самых неожиданных местах. ",#Студенты ,NonNone,NonNone
мажок,магнитола.,сущ,NonNone,NonNone,#Общие ,NonNone,мафон.
