name,definition,type,group,examples,hashtags,origin,synonyms
Ша,призыв к тишине.,междометие,NonNone,"- А ну-ка все ша!!! • Ша! Всем смотреть.  • Ша, братва, сейчас скажу.. • Ша, я сказал! ",#Общие ,NonNone,"тихо, замолкни, заткнись, ну-ка все заткнулись!"
Шаpить,"понимать, pазбиpаться.",несов. неперех.,NonNone,В химии я не шаpю. ,#Общие ,NonNone,рубить.
Шабашка,"разовая или временная нерегулярная работа, подзаработок.","-и, ж.",NonNone,"Здесь ты можешь найти подработку, шабашку, если у тебя есть свободное время и тебе нужны деньги - обращайся.  • Ищу шабашки работы по дереву. • Вообще то оплата шабашек дело тонкое.  • По шабашкам на себя работаем.  • Подкинули мне тут шабашку.  • Один раз шабашка была на лакокрасочном заводике, что в 2 шагах от училища.  • Шабашка против официальной работы. ",#Общие ,NonNone,фрилансер
шабить,Баловаться наркотическими  веществами.,"сущ., м.р ",(Люди),Го шабанем травки. ,#Наркоманы ,NonNone,NonNone
Шаблаться,"бродить, ходить где-то в течение долгого времени.",несов. гл I сп,NonNone,"Ты где шаблался, выродок?  • Маринка, пойдём по району шаблаться, делать ведь нечего!  • Когда долго по морозу шаблаешься, возникает желание забухать где-нибудь в тёплой тошниловке.  • Хватит по подобным сайтам шаблаться.  • Да и кто в это время будет по улицам шаблаться?  • Люблю шаблаться по горам. ",#Общие ,NonNone,слоняться.
Шаблоёбла,"Группа слабых людей, морально малозначимых, неспособных ответить, глупых.",Существительное ,"(Девушки, геймеры)","Эй, шаблоёбла, по теряйтесь быстро. ",#Общие ,NonNone,NonNone
Шаболда,девушка легкого поведения.,"-ы, ж.",NonNone,"(1) Пацаны между собой своих тёлок шаболдами называют.  • Ну и сошлась она с этой самой Анькой, всем известной, как стерва и шаболда, постоянно менявшая своих бесчисленных «мужичонков».  • Я себе риально чоткую шаболду нашел зовут Фёкла. •  Сестренка вообще вела себя как настоящая шаболда. (2) Ты что не слышишь меня, шаболда, быстро пошла и вымыла по второму разу дом! ",#Общие ,NonNone,шалава.
Шава,Шаурма/шаверма/шавуха.,Существительное ,(Еда),NonNone,#Общие ,NonNone,NonNone
шаверма,"У меня в компании это слово используется как-шаурма (говорили что это по питерски, шаурма).",сущ ,(еда),NonNone,#Общие ,NonNone,NonNone
Шавка,антифашист.,"-и, ж. ",(скинхеды),"На концерте шавки одни были.  • Некоторое время назад, мы обозначили нашу позицию касательно вопроса о т.н. «антифашистах», или как их ещё принято называть «шавках».  •  Замечаем подозрительных типов одетых как шавки, разворачиваемся, с криками «давай гавно и пр» на них, естественно доблестные борцы с фашизмом стали как можно скорее делать своё любимое дело —  давать по тапкам, убежали, быстрые оказались.  • Антифозные шавки совсем оборзели.  • И после этого шавки будут расказывать, что никак не связаны с жидами и, что ими не финансируются?  • Шавки есть враги страны и своего народа, ибо занимаются тем, что льют волны ненависти на таких же простых русских ребят как и они только за то, что последние любят свою Родину, свой народ, свою историю. ",#Общие ,NonNone,NonNone
Шавка,человек на трасе.,повия ,(шлюха),Шлюха на трасе. ,#Общие ,"Великий и богатый на выдумку русский народ легко напридумывал более сотни синонимов слову ""шлюха"", от простых: проститутка, путана, шалава, блядь, девка, стерва, падла, потаскуха, соска, курва, девушка легкого поведения, продажная девка, блудница; до витиеватых: лахудра, мессалина, профура, шаболда, шваль, трепушка, лярва. Перечислять можно бесконечно. Человеческий язык - это живой организм, в котором постоянно развиваются и синтезируются все новые и новые витиеватые синонимы для слова ""шлюха"". Что важно: мужского варианта слова в русском языке не встречается.",шлюшка.
Шавки,"так обзывают друг друга участники течений фа и антифа; также и тех, и других этим словом обзывают другие агрессивные неформалы.","-ок, мн. ",(обзывательство),"А я так и не въехал, шавки это фа или антифа?  • Приехал бас шавок из СПб и помяли Фа. • Шавок на нож заступничков в ноги хачей в землю! • Отовсюду воплями от наци-шавок на тему «антифа уроды». • Шафки, вы же просто сброд дегенератов-вырожденцев, какие вам силовые акции?!  • Так называемые «антифа» и «фа» — вы все *** шавки и ничего более. • Тупые шавки, ненавижу вас, козлы, всех вас надо в Бухенвальд. ",#Общие ,NonNone,шафки
шавол,фанат южнокорейской группы SHINee.,"сущ., м.р. ",(фанаты КРор),NonNone,#СлэнгФанатов ,NonNone,NonNone
шавуха,"Шаурма, шаверма, лаваш.","сущ., ж. р. ",(прошаренные),го шавуху захаваем. ,#Общие ,NonNone,"шаурма, шаверма, лаваш, собачатина."
ШАГ,Просто используемое слово вместо шок говорят шаг.,Я ПРОСТО В ШАГЕ ОТ ЭТИХ ЛЮДЕЙ ,(шог только только ШАГ),"Я просто в шаге от тебя, это ШАГ. ",#Общие ,от Lali и Ваньки.,"шок, шог."
шадап,заткнись.,NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
Шайка,"одно из многочисленных самоназваний неформальной группы, подробнее см. клуб.","-и, ж. ",(неформ. соц.),NonNone,#Социотехника ,NonNone,NonNone
шайтан-прибор,неведомое устройство.,составн. сущ. м.р.,NonNone,"Как мы видим, все шайтан-приборы состоят из двух частей.

Так что я думаю, что их шайтан-прибор опережает конкурентов, хоть Окулус, хоть Сони.

Как правильно собрать этот Шайтан прибор?! ",#Общие ,NonNone,шайтан-машина.
шайтанка,шайтанка это чёрт.,ж.р ,(ЛЮДИ),да ты на шайтанку похожа!!! Волосы не расчесала. ,#Общие ,NonNone,шайтан.
Шакалы,"люди, не имеющие чести.","-ов, мн. ",(обзывательство),"Вы шакалы, мне за всё ответите! ",#Общие ,"Название происходит от образа жизни животных - шакалов (стая, т.е. эти животные не способны в одиночку решать задачи для выживания, поэтому сбиваются в кучу и живут этим).","быдло, отморозки, беспредельщики."
Шакира,Певица.,NonNone,NonNone,NonNone,#СлэнгФанатов ,NonNone,NonNone
Шалабол,"болтун, не отвечающий за свои слова человек (неуважительное).","-а, м.",NonNone,"А, наш сосед шалабол, который день обещает починить домофон.  • Много обещает и ни хрена не делает, шалабол.  • Твой оппонент обычный врущий шалабол.  • Шалабол еще он тот, сам себе и нам он врет! ",#Общие ,NonNone,балабол.
Шалава,девушка легкого поведения.,"-ы, ж.",NonNone,"Вот, шалава, пацана увела! ",#Общие ,NonNone,"шамотра, шлюха."
Шалашовка,девушка легкого поведения.,"-и, ж.",NonNone,NonNone,#Общие ,NonNone,NonNone
Шалман,большая группа праздно отдыхающих людей.,"-а, м.",NonNone,Дома опять шалман навели. ,#Общие ,NonNone,тусовка.
Шалман,"кабак, место сходки воров для «культурного» времяпрепровождения.","-а, м. ",(бандиты),"К примеру песни Любови Успенской, шансонье. ",#Общие ,Происходит из воровской фени.,NonNone
Шалом,Приветствие.,"Сущ,. м.р ",(Соц.сети),Всем шалом друзья. ,#Общие ,NonNone,"Привет, хай."
шалопай,бездельник.,"сущ., м.р",NonNone,NonNone,#Общие ,NonNone,"бездельник, повеса, разгильдяй, шаматон шалун, проказник, оболтус."
шалун,"Описание эрекции, стояк.",сущ. м.р ,(в разговоре или интернет жаргон),NonNone,#Общие ,NonNone,NonNone
шалупонь,Люди которые унижаются перед другими.которых никто не слушает и относятся к ним не серьезно.,"Сущ., мн.ч. ",(разговорное),Эй шалупонь изчезли быстро отсюда. ,#Общие ,"Не достойные,мелкие.",NonNone
Шаман,"класс персонажа в ММоРПГ «World of Warcraft», который является частично гибридным: может наносить сильные магические повреждения с экстремальными критами (первая ветка талантов — стихии) или мили повреждения (вторая ветка талантов — совершенствование), или же быть очень хорошим хилером, с массовым-цепным исцелением (третья ветка талантов — восстановление); носит кольчужные доспехи.","-а, м. ","(геймеры, РПГ, Варкрафт)","Шаман, втыкни тотемы. • Нужен рестор шам в рейд. • Энх шаман просто подходит, тычет кнопку «убить» (штормстрайк) и ты ложишься(. ",#Геймеры #РПГ #Варкрафт #Общие ,"сокр. «шаман» (1) от англ. shaman, означающего ровно то же самое. • (2), (3) слово «шаман» взято из тунгусо-маньчжурских языков.","shaman, шам, шамик."
Шаманить,"Пытаться исправить, наладить, отремонтировать что-либо.",несов. перех и неперех.,NonNone,Надо с тачкой пошаманить (поремонтировать автомобиль). ,#Общие ,NonNone,NonNone
Шамить,"ябедничать, доносить.",несов. неперех.,NonNone,"Пусть я жестокий грубый, но я лучше буду таким, чем буду лебезить подстраиваться под кого то и шамить.  • Но как её выпроводить, так, чтоб она не побежала шамить предводительнице или глашатаю?  • А я сразу про него сказал: шамить не люблю но правила соблюдать надо.  • Зная о правилах в детском доме, она прекрасно помнила что шамить плохо.  • Да он как ребёнок идёт всем шамить.  • Девочек надо защищать, уважать и любить, а не шамить на них. ",#Общие ,NonNone,NonNone
Шамло,"ябеда, доносчик, человек, которому нельзя доверить секрет.","-а, ср.",NonNone,"Но я не шамло! Шамить не буду! Вас и так вычислят!  •  В этом участвовала девчонка которую на тот момент я возненавидел — главное школьное шамло, шестерка среди преподов.  • Весь класс его не любил и кличка у него была что-то типа Шамло, потом учительница поняла, что это и ее не красит, стала пресекать его попытки доносов.  • В дружбе не определенная, но зато не шамло, мне можно доверять.  • У нас есть девка в классе такое шамло!!! Чуть что ей по секрету — и уже вся школа знает!!! ",#Общие ,NonNone,NonNone
Шамок,"прихвостень, шестерка, подлиза.","-ка, м. ",(гопники),"У меня есть шамок, я пинаю его, и он меня слушается/  • Главный подослал к нему шамка. Я те чё шамок?  • А ты его шамок, жополиз, вот он тебя и не трогает походу!  • Сам видать стирал дедам носки, шамок тупой!  • Что меня пол года назад какой то шамок дернул на повороте!!! А тебя не будет бесить как шамок бегать и хилить? ",#Гопники ,NonNone,NonNone
Шамора,некрасивая женщина.,-ы. ж. ,(женск),Да она ток с шаморами и тусует... ,#Общие ,NonNone,"уродливая, отмороженная."
Шамотра,девушка «легкого поведения».,"-ы, ж. ",(обзывательство),"Какая же ты шамотра! Двухличная тварь!  • А меня просто тошнило бы от него, как представила бы, что он какую-то шамотру облизывал,  • Что бы вы чувствовали если через ваше мыло зарегалась какая то шамотра? ",#Общие ,Из араб. через иврит: шармута.,"шлюха, проститутка."
Шампанзе,"шампанское, игристое вино.",NonNone,"(кабацкий сленг, сленг официантов)","Ну чё, девки! Шампанзе пить будем? ",#Общие ,NonNone,шампунь.
Шампусик,шампанское — вид вина.,"-а, м.",NonNone,"Как девушка открывает шампусик.  • Попили шампусик.  •  Напротив пили шампусик три ярко выраженных упакованных блондинки в розовом.  • А у нас детеныш заказал себе детского шампусика на НГ.  •  Он позвал миня к сибе, типа шампусика попить.  •  Можно вино более-менее приличное подобрать, шампусик захватить. ",#Общие ,NonNone,NonNone
Шанель,Шлюха.,Существительное ,(Интернет пользователели),NonNone,#Общие ,NonNone,Девушка легкого поведения.
