name,definition,type,group,examples,hashtags,origin,synonyms
К бабке не ходи,"точно, наверняка, без сомнения.",в знач. нареч.,NonNone,"Здесь уж к бабке не ходи – следующий год будет очень трудным.  • Что подожгли, сволочи, — к бабке не ходи.  • Если открутив розетку ты увидишь что один контакт засран тараканами, к бабке не ходи  — это фаза, они на ней греются.  •  Если мы поведем себя безответственно, этим воспользуются конкуренты - к бабке не ходи.  • На сегодняшний день водка - лучшее приворотное средство, даже к бабке не ходи. ",#Общие ,NonNone,NonNone
К-К,Единственная форма - К-К : Чмок-Чмок.,NonNone,"(Про-геймеры в ""Бутылочку"" VK)","К-К, спокойной ночи! ",#Геймеры ,"Итог цензуры идеофона ""Чмок-чмок"", где ""Чмо"" обозначалось, как ругательство. Вследствие эти части слова удалялись из чата, оставляя только К-К.",NonNone
К-попер,"человек, увлекающийся культурой Южной Кореи, слушающий музыку Южной Кореи.","-а, м. ",(неформалы),К-попер не даст в обиду своего оппу!!!  • Привет к-поперы. Кто из Уральска? Объявляю о том что мы создаем группу с корейским стилем!  • Сообщество созданно для того чтобы собрать к-поперов нашего города в определенном месте для общения.  • Ну к-поперы меня поймут.  •  Внешне к-поперы ничем не отличаются от обычной молодежи.  • Как представителю к-поперов мне не приятно читать данную статью ибо написанное здесь полнейший бред. ,#Общие ,"Произошло от слова ""к-поп"", что означает корейская поп музыка. К-поп&gt;к-попер.",NonNone
к-рорер,"Человек, которые слушает к-рор.","прил.,м.р",NonNone,NonNone,#Музыка #СлэнгФанатов ,от к-рор.,NonNone
Кабак,"предприятие общественного питания (реального, а не имитации) на ролевой игре.",м. ,(ролевики),Кабак — одно из самых посещаемых мест на игре и одно из самых спорных. Как сделать кабак помогающим ходу игры? ,#Ролевики ,NonNone,трактир.
Кабак,"место централизованного питания, где можно реально поесть за работу или за игровые деньги.","-а, м. ",(ролевики),NonNone,#Ролевики ,NonNone,NonNone
Кабака,Член.,NonNone,NonNone,Кабаку тебе. ,#Общие ,NonNone,NonNone
Кабактерий,"ресторан, предприятие общественного питания.","-ия, м.",NonNone,"Ладно, я брошу кости с вами, но только если вы позовете меня в кабактерий.  • Я – в ресторан обедать, а они – в кабактерий. – Куда? – В общественную столовку.  •  И как там наш кабактерий для мальчиков и нимфеток с мозгом, поврежденным пепси-колой? ",#Общие ,NonNone,NonNone
Кабан,"Mersedes-Benz S600 (в 140 кузове)- в свое время (1991-1997) флагман модельной гаммы Мерседеса, автомобиль представительского класса.","-а, м ",(автолюбители),"Он не крутой, он реально густой, на «кабане»...  • Ездит на кабане (мерсе), одного знакомого один раз даже подвёз.  • Если готов платить за ремонт Кабана, то машина хорошая, и платить за бензин в тех колличествах в которых он его кущает.  •  Знакомый на мерине ездит на кабане S500.  • На одном мерсовском форуме есть мужик котрый ездит на кабане-600.  • У меня салон кабана выдержан в тех самых цветах ADIDAS - сочетание белой кожи и синего фона обшивки. ",#Автолюбители ,NonNone,NonNone
Кабанить,"резать на части, также в смысле раскапывать, разрывать землю.",несов. неперех. и перех.,NonNone,"(1) Я мясник! Люблю кабанить!  • Классическая модель ножа с красно-кровавым цветом на конце —  для любителей кабанить.  • Довольно легко находим нужный ориентир — надпись на скале, но дальше — облом, фотографией нужной не запаслись, а так просто кабанить склон реально ломота.(2) Люди начинают кабанить только тогда, когда кто-нибудь хитрый и злой заплетет им рамсы.  • Тот понимал что государство нас кабанит.  • Гайцы кабанить только на дорогах могут, доить водил.(3) До сих пор с похмела кабанит маленько.  •  Меня совсем кабанит, а таблетки дома — надо сходить в аптеку купить.  • Не подкидывает и не кабанит на наибольших скоростях.  • Он на «Агаве» сидит, поэтому и кабанит: пингуется вроде нормально, но временами отваливается. ",#Общие ,NonNone,NonNone
Кабанить,убивать.,несов. перех. ,(геймеры),"Люблю кабанить сзади, особенно снайперов.  • Когда глянул через стенку на смертника, который сидел тихо, пошел его кабанить.  • Если игрок X начал кабанить игрока Y, то игрок Y становится неуязвимым для всех, кроме игрока X на 2-3 секунды, для игрока X уязвим с любого оружия.  • Чтобы мочить кабанить всех!  • Если игрок кого нибудь кабанит у него сразу 400 хп откуда-то берется.  • пусть американец кабанит талибов, теряя при этом свои позиции в регионе. ",#Геймеры ,NonNone,закабанить
Кабанчиком,"быстро, быстрей.",в знач. нареч.,NonNone,"Давай кабанчиком одевайся и пошли гулять.  • К врачу давай кабанчиком!  • Анука метнулась кабанчиком в магазин за пивом.  • Давай кабанчиком меняй ник!  • Вскочила я, значит, свежа и прекрасна, как майская роза, и кабанчиком  метнулась в сторону детского мира.  • Давай кабанчиком решать эту проблему.  • Федя сел на виласипет  и кабанчиком дал чмыру по извилистой тропке на дальнюю паляну. ",#Общие ,NonNone,NonNone
кабель,тварь бабник.,кобель ,(употребляется среди баб),"-ты кабель
- ясн. ",#Общие ,серый.,бабник.
Кабенщица,"Человек, который выпендривается.",сущ. ж.р. ,(Улица),"Зырь, Кабенщица прется. ",#Общие ,NonNone,Выпендрешница.
Кабздец,"конец, провал, неудача, апокалипсис.","-а, м.",NonNone,"Кабздец китайскому самолету.  • Вот и кабздец фотоаппарату, матрице особенно.  • Скоро Украине кабздец! Ужжосс!  • Единороссам на выборах полный кабздец!  • Читая в газете про первые признаки грядущего кабздеца... ",#Общие ,NonNone,"пипец, трындец, абзац, каюк."
Кабздох,собака.,"-а, м",NonNone,"Кабздох подох.  •  Когда хожу домой ночью,часто кидаюца два здоровых кабздоха.  • Выть станешь, как кабздох на цепи.  • Пёс бросил меня с мешком и попытался развернуться когда второй кабздох вцепился ему в шею. Голодный кабздох, пытался разыскать хоть какую-нибудь косточку.  • Собака Баскервилей, а не кабздох!  • Батя там жил пару лет и удивлялся злости местных кабздох.  • Дворового «кабздоха» (даже с бантом) / С болонкой комнатной не стоит и равнять!  • Заведут кабздоха, а как вырос и перестал быть «пушистиком», или надоел, насрал в ботинок, или что еще, его вышвыривают на улицу. ",#Общие ,NonNone,"псина, пёс."
Кабина,хитбокс головы противника в КС версии 1.6.,"-ы, ж. ","(геймеры, шутеры, Контр-Страйк)",Ну и тут я вылетаю из-за угла и четверым по кабинам из М4А1. ,#Геймеры #Шутеры #Контр-Страйк ,NonNone,NonNone
каблук,"Мужчина, который полностью подчиняется женщине.","сущ.,м. р.",NonNone,NonNone,#Общие ,NonNone,подкаблучник.
