name,definition,type,group,examples,hashtags,story,synonims
Да щто тэ??,"ну да ладно? что серьёзно? (обычно употребляется в виде сарказма)
.",словосочетание,NonNone,"- бляяя, вот я идиот..! - да щто тэ???? хД. ",#Общие ,NonNone,NonNone
даббер,"человек, озвучивающий аниме по предоставленному ему (или сделанному самим) переводу.",NonNone,(аниме),NonNone,#Аниме ,NonNone,NonNone
Дабер,"Человек, слушающий музыку в стиле дабстеп.","Существительное, мужской род. ","(Музыка, дабстеп.)","Смотри, вон даберы сидят. ",#Музыка ,NonNone,NonNone
Дабл,туалет.,"-а, м.",NonNone,"Я вот как то пошел в дабл... в кабинку залез... делаю дело свое... спокойно так... писаю, то есть.  • Пошел в дабл отлил нахрен, а цены опять упали.  •
В парк я вошел фо фри пока кассир отошел в дабл. ",#Общие ,NonNone,NonNone
Дабл кап,Стаканчик (сложенный из двух пенополистирольных стаканчиков) с кодеиновым коктелем.,словосочетание ,"(рэперы, веб панки, наркоманы)","A zip and a double cup, I'm gettin high as f***. ",#Наркоманы #Музыка ,От англ. double cup —  двойной стаканчик.,двойной стаканчик.
Дабл-кил,"значит двойное убийство, т.",NonNone,NonNone,NonNone,#Геймеры ,NonNone,NonNone
Дабл-клик,одновременное озарение ответом — щелчок — у нескольких членов команды.,"-а, м. ",(ИИ),NonNone,#ЧГКшники ,От англ double click— двойной щелчок.,NonNone
Дабл-тайм,читка вдвое быстрее ритма битов (музыки).,NonNone,(рэп),"Впервые на «всесоюзном» релизе парень читал в дабл-тайме.  • Дабл тайм считка, постоянные двойные рифмы, и истерично-эмоциональное исполнение.  •  Это его первый опыт в читке с дабл таймом.  • Быстрый рэп с элементами дабл тайма. • Свободно читает на дабл-тайме. ",#Рэперы ,"Англ. Doubble Time, означающее на сленге англоязычных рэперов ровно то же самое.","дабл тайм, даблтайм"
ДаблДак,двойное приседание.,"-а, м. ","(геймеры, шутеры)","«Игрокам запрещено использовать бесшумное перемещение, выполняемое многократным нажатием кнопки duck (приседание). 
Игрок, использующий эту технику, по решению судьи может быть наказан предупреждением или дисквалификацией. 
Примечание: это не распространяется на перемещение с нажатой кнопкой duck (приседание)» • «Запрещено использовать SilentRun (то есть постоянный ДаблДак)» • «Дабл-Дак можно было вполне законно использовать на чемпионате в применении только клавиши присесть (без скрола мыши)» • «Банить только тех,кто играет с дд на бинде!» • «Персонажи что делают дд на колесико - вы клоуны, лобки и неудачники». ",#Геймеры #Шутеры ,"от англ. double duck, означающего ровно то же самое.",Дабл-дак
Даблрайм,двойная рифма.,"-а, м. ","(музыка, рэперы)","Созвучия, скилзы текста, даблраймы и прочие хип-хоп аспекты меня в твоей композиции не зацепили.  • Есть кароч такие штуки как панчлайс и даблрайм. Это такие способы рифмовки. Панчлайс это когда последнее слово из первой строки рифмуется с первым словом из второй строки и с последним словом из второй же строки.  • Это тяжелая версия рэпа, У нас стандартные даблраймы, у хриплого панты.  •  Крольчатина, это по две строчке, а дабл райм когда четыре строчки и вот так вот зарифмованно. ",#Музыка #Рэперы ,"Англ double rhyme, означающее ровно то же самое.",дабл райм.
даблраймить,Рифмовать двойными рифмами.,глагол ,(Рэп),Хованский классно даблраймил во втором раунде. ,#Общие ,DOUBLE RHYME - Двойная строка.,Рифмовать.
даблраймить,Рифмовать двойными рифмами.,глагол ,(Рэп),Хованский классно даблраймил во втором раунде. ,#Общие ,DOUBLE RHYME - Двойная строка.,Рифмовать.
даблтаймить,скоростная читка.,NonNone,(рэп),NonNone,#Рэперы ,NonNone,NonNone
Дабстеп,"стиль рок-музыки, особенности: быстрые ритмы, тяжелый бас, общий мрачный саунд, с использованием окружающих атмосферных звуков, массивных низких частот и свинга.","-а, м. ",(музыка),"У дабстепа имеется много общих черт с таким стилем, как драм-н-бейс • Дабстэп - новое танцевальное направление.  • Дабстеп танец представляет из себя микс стилей вейвинга, кинг-тата, поппинга и хип-хопа.  • Большинство людей, продюсирующих и играющих дабстеп, выросло на джангл-музыке.  • Сайт посвященный музыке в стиле dubstep. ",#Музыка ,NonNone,"дабстэп, dubstep"
дабчик,Музыка в стиле Dubstep на быстром языке.,"сущ., м. р. ",(Музыка),NonNone,#Музыка ,От англ. dubstep - дабстеп. Русские же обыватели добавив суфикс получили дабчик.,Dubstep.
дабы,значение слова дабы имеет 2 типа эта типо и как-будто.,NonNone,(люди),идёт дабы красивая. ,#Общие ,NonNone,NonNone
дав вс,Давай встречаться.,"гл., м. руб. ",(молодеж),NonNone,#Общие ,NonNone,NonNone
Давай,возглас при прощании.,предикатив,NonNone,"Ну, ладно, кладу трубу, давай!  • Давай, до встречи, пока, Может увидимся где то с тобой и ещё и не раз. • Ну давай до встречи. ",#Общие ,NonNone,"до свидания, пока, бай."
Давалка,Женщина/Девушка легкого поведения.,сущ. ж.р. ,(Быдло),"-Брат, меня моя девушка бросила. :(
- Да забей! Новую тебе давалку найдем! :). ",#Общие ,Придумало быдло.,"Шлюха, путана, шалава."
Давис,Люди которые играют с оружия П90.,ХЗ ,(Геймеры),Давис идёт в темку с петухом. ,#Геймеры ,ПЕТУХ.,Петух.
Давить,"потреблять, употреблять внутрь, чаще всего алкоголь, но иногда и другую еду, пить или есть.",несов. перех.,NonNone,"Сидят трое мужиков давят пузырь. •  Три заядлых автолюбителя в гараже после работы давят пузырь.  • С ним сидят ещё трое, давят водку, томатный сок, всякие там котлеты и огурцы.  •  Мареманы давят коньяк в приёмной.  •  Розанов со Шпетом и Шестовым давят бутерброды с вареньем. ",#Общие ,NonNone,NonNone
