name,definition,type,group,examples,hashtags,origin,synonyms
На,употребляется для связки между словами.,междомет.,NonNone,"Ну ты че там на? Пошли выпьем, на! ",#Общие ,"очевидно, от бранного «на ...».","типа, эта,  блин, в натуре."
На блатных педалях,"наглый, страх потерявший человек, выступающий не по делу.",NonNone,NonNone,"Ты че, мальчик, на блатных педалях? ",#Общие ,NonNone,NonNone
на блоке,"Место, где торгуют шмалью, либо другими наркотиками.",словосочетание ,(Наркоторговцы),NonNone,#Наркоманы ,NonNone,на квартале.
на верочку,штоб точно.,NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
На галстуке,на буксире.,NonNone,(автолюбители),"Потащили мы машину на галстуке в ближайший автосервис.  • Было похожее у знакомого механика: привели на галстуке машину....  • Холодно далеко на галстуке ехать.  • Машина с АКПП, заводить на галстуке, понятно, нельзя.  • Имеет эвакуатор (или хотябы машину, способную на галстуке притащить к себе тот же фургон).  • Владел я ей 4 месяца, проехал 13000 км. за которые 2 раза на галстуке ездил в автосервис. ",#Автолюбители ,NonNone,NonNone
На говне,с оружием.,NonNone,(футбольные фанаты),На говне ходите? •  В этот раз на стадион без говна.  •  На такую толпу без говна ходить опасно.  •  На говне стыд и позор ийти а против говна переть это честь и отвага и унижение врага. ,#Общие ,NonNone,"вооруженный, при кастете."
На голяке,"в бедности, без денег или необходимых вещей.","-а, м",NonNone,"Осужденные, приготовившие баулы, правдами и неправдами собравшие запас чая и курева, не поедут на этап, прочифирят и прокурят свои запасы и останутся на голяке.  • Вы отбросите врага, оставив его на голяке.  • Пил как то недельку когда не было других препаратов, на голяке короче.  • Я, когда с кичи откинулся, чисто на голяке был!  • Потом вообще приехал домой на голяке. В том в чом уехал. Без машины и без ничего. ",#Общие ,NonNone,NonNone
На дизике,"Человек, который не может сдержать смех.",NonNone,(На дизике),"Слушай, бро, ты что, на дизике? ; 
У него крыша поехала. Наверное он на дизике.; 
Не, ну ты точно на дизике! ",#Общие ,NonNone,NonNone
На донышке,"Фраза Дианы Шурыгиной на  программе ""Пусть говорят"".","Сущ.,м.р. ",(Мемология),"Там на донышке было,на донышке я же сказала. ",#Социальныесети ,"От слово дно,фразы Дианы Шурыгиной.","Дно,Шурыгина."
На дурняк,"получить что-то незаслуженно, без труда или по чьей-то глупости, небрежности, простодушию.",в знач. нареч.,NonNone,"Слава на дурняк.  • Но «на дурняк» деньги больше не дадим.  • На дурняк и уксус сладкий.  • Ну думаю ладно, на дурняк поиграемся они со мной, а я с ними.  • Деньги на дурняк.  • Но если ты захотел «халявы, на дурняк», можешь даже не начинать!  • Кормят на дурняк, одевают задаром, ещё и суточные платят нехилые.  • Не надо спихивать, что мы «на дурняк» хотим прожить. ",#Общие ,NonNone,"нашару, на халяву."
на изи,"легко, с лёгкостью, на раз-два.",наречие,NonNone,Да я сделаю это на изи! ,#Общие ,"от англ. easy - ""легко"".",NonNone
На измене,"в состоянии беспокойства, неудовольствия, страха, растерянности, дискомфорта.",NonNone,NonNone,"Я нынче на измене, господа, / И мысли лезут в голову дурные (Игорь Пикулин). • Есть люди - научившиеся использовать людей на постоянной измене или состояния эпизодической измены у своих собеседников.  • С момента ввода этих купюр в обращение прошло семь лет и государство «сидит на измене» —  фальшивомонетчики тоже не дремлют. • Народ, я на измене. • Хреновые вести с полей, я на измене.   • Инкубационный период краснухи составляет 21 день, так что ещё две с половиной недели сидеть нам всем на измене. ",#Общие ,NonNone,NonNone
На икс,посылание куда подальше; выражение негативных эмоций по отношению к к-л или чему-л.,NonNone,NonNone,"Иди ты на икс!  • Четвертовать таких ублюдков на икс!  • Ну и на икс такой парень нужен?  •  Уникальные изобретения пылятся в ящиках, потому что тут они на икс никому не нужны.  • Послать их на икс!  • Все, кто согласен на беспредел - работают, остальные идут на икс.  • Пошли вы все на икс! ",#Общие ,эвфемизм матерного выражения.,"на йух, в Бобруйск."
На керосине,"О каком-либо механизме, электронном приспособлении, которое плохо выполняет свои функции, дает сбои при работе.",NonNone,(общее),Этот ноут не иначе как на керосине  - пять минут Винду грузит. ,#Общие ,NonNone,на дровах.
На клапан давит,хочется в туалет.,NonNone,NonNone,"Почему в храмах нет туалета? Куда ломиться когда на клапан давит?  • Иду домой. Чувствую на клапан давит. Ну думаю, успею. •  Задница уже плоской стала, а на клапан давит так, что аж пар из ушей!  • И на клапан давит, аж жопу сводит.  • В чем кроется подвох я осознал, когда понял, что на клапан давит, а поблизости туалетов нет. ",#Общие ,NonNone,NonNone
На КОРОНЫ,поднятие Х и максимальное удерживание в ходе прохождения миссии.,словосочетание ,"(игры, геймеры)",NonNone,#Геймеры #РПГ ,NonNone,NonNone
На крайняк,"в крайнем случае, в худшем случае, о предлагаемом выходе из сложного положения.",NonNone,NonNone,"Как можно добраться из Юрмалы до Рои? Ну, или на крайняк из Риги?  • Посоветуйте пожалуйста хороший триллер, на крайняк - фантастику.  • На крайняк ищите хорошего токаря и цех гальваники.  • Ну на крайняк эту ветку почитай.  • На крайняк можно без подъемника. ",#Общие ,NonNone,NonNone
