name,definition,type,group,examples,hashtags,origin,synonyms
э блет туох дигин де,Э блет туох дигин де его можно употреблять везде.,с.р ,(везде),"
э блет туох дигин де
э блет туох дигин де

",#Общие ,NonNone,NonNone
Эба,Танцевальные движения ногами с внутренним подъемом стопы вверх и отведением колена в сторону.,Глагол ,(общеупотребляемое),"Если устал на работе, э, делай эба, 
Если бросила подруга, э, делай эба, 
Не пустили в клуб, дома делай эба. ",#Музыка ,"Популярно среди молодежи и поклонников Реп группы ""ХЛЕБ"".",NonNone
эблет,"Эблет - лицо, сказанное в грубой форма!
Образованно от матерного слова - (лицо).",сущ.м.р. ,(Выржение),"""Вот это у тебя эблет, конечно!""
""Он ударился об стул и его/её Эблет стал похож на шарпея!"". ",#Общие ,Эблет-Еб%ло.,"лицо,морда."
Эвак,"Отношения между двумя парнями, Эваном и Иссаком.",сущ. м.р. ,(Яой),В этой серии будет Эвак. Они такие милые. ,#СлэнгФанатов ,NonNone,NonNone
Эвейд,В геймерской среде понятие используется как возможность избегать атаки противника.,Глагол. ,(Геймеры),NonNone,#Геймеры ,От англ. evade - уклонятсяизбегатьувиливать etc.,NonNone
Эвейдить,Уклонение от направленого в тебя действия.,гл. ,(В основном в MOBA играх Dota 2),NonNone,#Геймеры ,NonNone,Эвейд
Эвик,автомобиль «Mitsubishi Lancer Evolution».,"-а, м. ",(автолюбители),"У нашего друга угнали эвика!  • Эвик очень требователен к весу диска и колеса в целом.  • Если мы эвиков собирали, то и сравнивать было легко, т.к. элементы подвески практически одинаковые.  • Эвик достался с тонировкой 5 по кругу без лобовика.  • Знакомый клапана с эвки к ТАЗа ставит.  • По мне так эвка в любом кузове более универсальный отжигмобиль чем любой другой за небольшие деньги.  • Кроме того, «Эвик» получил жесткие стойки подвески. ",#Автолюбители ,NonNone,эвка
Эвфемизм,"оборот речи, когда одно слово заменяют другим, для приличия, но всем понятно, что имеется в виду.","-а, м. ",(научн. лингв.),"Монография посвящена исследованию эвфемизмов как особых речевых актов.  • Сами блатные предпочитают использовать различные эвфемизмы и синонимы слова «блатной», называя себя авторитетами, арестантами, босяками.  •  Столь ценимая Бушем концепция «превентивной войны» раскрыла свою истинную природу: это обычный эвфемизм, которым можно прикрыться для того, чтобы нападать на кого угодно. ",#Общие ,Греческое ευφήμη можно перевести типа того: «хорошо говорить» или «добрая речь».,NonNone
Эгг,яйцо.,нескл.,NonNone,"Эгг-карвинг —  резьба по яйцам: креатив к Пасхе  • Важнейшим ингредиентом кокетйля Эгг Ног является яйцо,  • Больше всего Эгг походил именно на яйцо: не фигурой, и не формой головы - совершенно непонятно чем, но сомнений никаких не возникало. ",#Общие ,"От англ. egg, означающего ровно то же самое.",егг
Эгладор,ролевая тусовка в Москве.,"-а, м. ","(ролевики, топоним)",NonNone,#Ролевики #Топонимы ,NonNone,NonNone
эгоистка,"Женщина, отличающаяся поведением, целиком определяемым мыслью о собственной пользе, выгоде, когда она ставит свои интересы выше интересов других.","сущ., ж. р.",NonNone,NonNone,#Общие ,От лат. ego — «я».,NonNone
эгоистка,"Девушка, которая невзирая на мнение и удобство окружающих делает все для себя.","сущ., ж.р.",NonNone,NonNone,#Общие ,NonNone,NonNone
эгьё,"Корейское слово, означающее что-то ""милое, симпатичное
 и до некоторой степени невинное"".
Обычно это мимика и жесты, в наиболее общих чертах выражающие миловидность, 
хорошие манеры и душевную мягкость.",сущ.,NonNone,NonNone,#Общие ,NonNone,NonNone
Эдвайс,"жанр баннера (интернет-плаката), выполненный по определенному канону — картинка  с дорисованными сверху и снизу ироническими изречениями.","-а, м. ",(интернет),"Проходишь по ссылке, выбираешь ту картинку, на которую хочешь сделать эдвайс.  • Тут можно сделать эдвайс.   • Всегда мечтал сделать эдвайс этим вопросом я задаюсь с утра.   •  Как же не сделать эдвайс дога?  •  Вы должны сделать эдвайс про пейринг князя с оленем.   • Так и хочется сделать эдвайс   • На днях в сети появился новый эдвайс, моментально заинтересовавший политиков и представителей СМИ.  • Я придумал эдвайс типичный жирный тролль беона. ",#Интернет ,NonNone,демотиватор
эдить,добавлять что-либо.,гл. н.ф. ,(соц. сети),Ты будешь эдить голые фотки? ,#Социальныесети ,от Англ. add - добавлять.,NonNone
эдэ,Да.,NonNone,(подростки),"-ну что пошли
-эдэ. ",#Общие ,NonNone,согласен(сна).
Эекстелр тыеой яебанейу коту,Экслер (сайт exler.ru) и его грёбаный кот.,NonNone,(упячка),NonNone,#Упячка ,NonNone,NonNone
ЭЖ,"""это - жопа"", т.е.",наречие ,(школьники),"- ЗОЖ - ЭЖ!
- Чего?
- Здоровый образ жизни - это жопа! ",#Общие #Интернет ,из жопы.,жопа.
Эй дозум,эй друг.,NonNone,NonNone,"Эй, дозум, посмотри там... ",#Общие ,От кыргызского слова друг.,"слышь, друг."
