name,definition,type,group,examples,hashtags,origin,synonyms
Ч Т О?,Использование при большом удивлении.,Сущ. ,"(В разговори при, большом удивлении)","Привет мне купили новую вещь, АЙФОН 10 Ч Т О? ",#Общие ,NonNone,NonNone
Чав,на Западе (особенно в Англии) типа нашего гопника.,"-а, м. ",(гопники),"Чав — это расхожий образ белокожего хулигана в клетчатой бейсболке.  • Еще один непременный атрибут настоящего чава — массивная блестящая цепь под «золото».  • Стремление обычного чава - уговорить прохожего купить ему алкоголь.  • Разумеется, практически весь «дизайнерский» гардероб чава, за исключением разве что обуви, состоит из подделок.  • Многие наверное сталкивались с местными чавами на байкальском прибое. ",#Гопники ,NonNone,NonNone
чавела,Чавелла - панибратское обращение к цыганам.,сущ. м. р. ,(общий сленг),"- Эй, чаваллы, гулять так гулять!
Или:
- Красавчик, позолоти ручку, погадаю!
- Отойди чавела, нет денег! ",#Общие ,"Цыганское слово ""чяво"" (чявэ) (муж.) - парень, цыган.",чувак - свой парень.
чавелла,обращение цыган друг к другу.,NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
чавис,"труп, мертвый чувак.",сущ. ,(контр-страйк),Чависы гребаные. ,#Геймеры #РПГ ,Илюша придумал.,"лох, дно."
ЧаВо,"инструкция по пользованию программой, составленная из ответов на вопросы пользователей.",аббревиат. ,(айтишники),NonNone,#Айтишники ,ЧАстые ВОпросы - в смысле: часто задаваемые вопросы.,ФАК.
ЧАВО,"От слова ""чего"", вопросс типо ""чего???"".",NonNone,NonNone,"Ты чаво, совсем попух? ",#Общие ,NonNone,NonNone
Чавый,цыган.,"-ые, ых",NonNone,"Смотри, вон чавый идёт!  •  Там на районе вообще одни чавые селятся.  • Магазина Мего, есть чебуречная, держит какойто чавый.  • Мы, скины, избавляем людей от хачей, и чавых которые банчат наркотой.  • В центре напротив цирка, там бабка (чавая) ходит пацанам предлагает ЛСД. ",#Общие ,NonNone,чава.
чаевые,"дополнительные деньги сверх счета, которые дают работникам сферы обслуживания для оплаты дополнительного старания, внимания.","сущ., м.р., мн.ч.",NonNone,NonNone,#Общие ,NonNone,NonNone
Чаёк,курево.,"-йка, м. ",(улица),Доставай чаёк. ,#Общие ,NonNone,NonNone
