name,definition,type,group,examples,hashtags,story,synonims
т.х,"Человек, мало образованный, не понимающий сути диалога.","сущ, м.р ",(Люди),Ты вообще что понимаешь здесь? Т.х. ,#Общие ,NonNone,Глупец.
Таблетка,карманный компьютер.,"-и, ж. ",(айтишники),"Краткий список популярного софта для таблеток с кратким описанием. •  Это основные замечания к интерфейсу таблетки.  • Microsoft анонсировала выпуск новой версии Windows XP Tablet PC Edition, порадовав многочисленных пользователей таблеток. ",#Айтишники ,"От техн. и маркетинг. терм. Tablet PC, tablet букв. — блокнот, табличка для письма.",NonNone
Таблетка,"программа или способ для пиратского взлома, других программ, подробнее см.кряк.","-и, ж. ","(айтишники, кракеры)","Программа супер, вот только где бы найти таблетку к ней?  •  Все они бесплатные, ну а если и встретится платный, то таблетку (Crack, Serial, Patch) ищите внутри. • Не все новые приложения имеют при себе таблетку, и не ко всем добавлены пароли. ",#Айтишники ,NonNone,"кряк, лекарство вар. таблэтка."
Таблетка,"плоская батарейка или аккумулятор, применяется в часах, других электронных приборах, в том числе стоит на материнке компьютера для поддержания работы биоса и системных часов.",NonNone,(железячники),"Зарядка AC-3E (5V 350ma), которая не способна зарядить таблетку полностью.  • Просто компы устаревают и их меняют раньше чем эта таблетка разрядится.  • А батарейка CMOS - эта какая-то специальная батарейка или обычная таблетка?  • можно снять таблетку с материнки и обнулить биос. ",#Железячники ,NonNone,NonNone
Табло,"лицо, физиономия.",NonNone,(гопники),"Дам в табло тому, кто скажет, что я не рэпер!  •  Реальный пацан: он не бросает слов на ветер и сразу бьет в табло.  • Дам в табло и не посмотрю на то, что ты баба.  • В табло дал — пацан упал!  • Лучше вам не лезть в эту игру,а то все получат чётко по таблу!  • Лично дам в табель любому под красным флагом!  • Ща в табель как задвину! ",#Гопники ,NonNone,табель
Таблы,"таблетки, например, в игре «Left 4 Dead - 2».","-ов, мн. ",(геймеры),Эй! Я нашел таблы! ,#Геймеры ,сокр. от «таблетки».,"(1) препарат, аптечка. (2) табы."
табу,Запрет на какое-либо действие.,"сущ., ср. р. ",(моралисты),А выпить с утреца можно ? - Нет. На это у нас табу. ,#Общие #Интернет ,NonNone,Запрет.
табуретка,"Выражение типо тупой , дурак школьники заменяют - табуретка.","сущ., ж.р ",(Школьники),"-Я не понял что такое модем
- НУ ТЫ ТАБУРЕТКА. ",#Общие ,NonNone,"Идеот , без мазгов."
тавер,"башни, которые расположены на всех линиях и наносят урон по противникам.","сущ., м.р ","(игры, геймеры, Дота2)",NonNone,#Общие ,NonNone,NonNone
Тавир гита,Описание хорошего стрелка.,"Сущ., м.р ",(Геймеры),"-Блин,  слился!
-Да, это просто я Тавир Гита! ",#Геймеры #РПГ ,"Из игры GTA:SAMP, употребляется в сторону бандитов из гетто.",Тащер гетто.
тавр,С английского означает башня.,сущ ,(Геймеры),NonNone,#Геймеры ,NonNone,NonNone
Таган,"город Таганрог, Ростовской области.","-а, м. ",(топоним),"Поездов с Украины через Таган в Ростов теперь не будет практицки.  • Мы тут приехали в Таган всем кодлом. • Как только я приехал в Таган прошлым летом в начале июля... • Как тесен мир, особенно в Тагане.  • Успенская на таком же расстоянии от Таганрога, что и Ростов, к северу от Тагана. ",#Топонимы ,NonNone,"Тагантип, ТаганYork."
тагггинг,"процесс добавления тагов, меток на что-то.",гл. ,(интернет),NonNone,#Общие #Интернет ,tag - метка.,"тагггинг, таггггинг, тагггггинг, таггинг, таггинг."
Таггер,"граффитчик,  который не рисует пиес и других больших форм, а все творчество его заключается в проставлении собственного тэга — подписи.","-а, м ",(граффити),NonNone,#Граффити ,NonNone,"тэггер, тагер"
Таггинг,"основное занятие таггеров; быстрое создание лаконичных  граффити, содержанием которых является только логотип райтера.","-а, м. ",(граффити),"На Западе таггинг - ​распространенное явление, что-то вроде экстремального вида ​спорта. ",#Граффити ,NonNone,тэггинг
Тагер,"райтер, пишущий только свое имя — таг.","-а, м. ",(граффити),"Эти тагеры достали, все работы залепили! ",#Граффити ,"От англ. tag — ярлык, этикетка, бирка.","таггер, тэгер"
Тагиииил,(междометие) — возглас выражения эмоций.,NonNone,(топоним),"Вчера ночью кто-то прыгал в бассейн с криком «Тагиииил!»  • Вован всё время представляется с бутылкой водки в руке, и при обращении к нему вскидывает руки в стороны и орёт «Тагиииил!!!»   • Сегодня в 4 часа утра какие - то оголтелые придурки кричали «Тагиииил», пока кто-то не откликнулся на зов и не завопил на пол района «Владивосток!».  • Меня друг развлекает как этим словом «тагииил», так и мотивчиком «уууу уууу уууу». • Тагиииил рууулит!! Круто наш город пропиарили!  • Начинаем отмечать день рождения нашего любимого города! Будем всю ночь кричать: «Тагиииил!!!»  • Тагиииииил! По поверью древних сам Чак Норрис родился в Тагиле. ",#Топонимы #Общие ,NonNone,"тагиил, тагииил, тагииииил"
Таз,"автомобиль отечественного производства, чаще всего «ВАЗ».","-а, м. ",(автолюбители),"Поцыки на тазах колесили на районе.  • Как-то ехал на тазе 07 и бенз закончился.  • Сейчас купил ТАЗ 2114.  • Да и подвеска на тазе очень надежная и крепкая, не то, что например у Пежо.  • Я в деревню 1000 км ехал на тазе два дня с остановками каждые 200 км и крепким сном.  • Все эти расходники не дороже тазовских, ну или дороже незначительно.  • Я сильно сомневаюсь, что за стоимость моих запчастей можно хотя бы колеса для таза прикупить. ",#Автолюбители ,NonNone,тазик.
Таз,"автомобиль Тольятинского (ака Волжского) автозавода («Жигули», «Нива», «Лада» и др.).","-а, м. ",(автолюбители),"Нужно лобовое стекло на таз 2108. • Чем ТАЗ отличается от автомобиля. • Ковыряя Таз, запасись железным терпением, а нервы выкини на помойку, иначе рассудок покинет тебя. • Салон вместительный, багажник больше чем у «тазов». ",#Автолюбители ,NonNone,ТАЗ
Тазик,"автомобиль, чаще всего в смысле устаревшей модели иили изношенный, неприглядный.","-а, м. ",(автолюбители),"Ехал на тазике автоурод. / Летел он на красный свет!   • Боюсь на тазике далеко уезжать так как в этом состоянии едет, как будто я на ручнике.  • Откуда ехал тазик целая очередь машин образовалась.  • Сначало в левый отбойник, потом в тазик на правой полосе, ну и, возможно, грузовик дополнил бы утренний пейзаж. • Я езжу на тазике дэу матиз уже 5 год, при чем покупала я его б/у 5-ти годовалого, т.е. ему сейчас почти 10 лет. ",#Автолюбители ,NonNone,NonNone
Тазик с люстрой,"автомобиль с «мигалкой» на крыше, чаще всего полицейский.",NonNone,(автолюбители),"Благородная машина окончательно превратилась в разукрашенный тазик с люстрой на морде и тазорейсером за рулем.  • Едет колонна военных грузовиков, впереди ее военный тазик с люстрой, за рулем солдатег.  • Нападение опасных мотоциклистов на тазик с люстрой.  • Сажусь в тазик с люстрой, начинается диалог:  — Ваши документы?  • Еду где-то 100, смотрю  — навстречу тазик с люстрой и моргают, я по тормозам... ",#Автолюбители ,NonNone,"ментовоз, мусоровоз."
тазовод,Владелец автомобиля производства ВАЗ (Лада).,"сущ., м.р. ",(автолюбители),Мой сосед дядя Жора - тазовод. ,#Общие ,"От ТАЗ (автомобиль ВАЗ в ""народе"").",Жигулист.
