name,definition,type,group,examples,hashtags,story,synonims
П***ец,Мат.,NonNone,(Ругание),"
П***ец
П***ец

",#Общие ,NonNone,NonNone
Паб,это так называемые открытые игры в battle.net.,сущ. ,"(геймеры, РПГ, стратегии, Варкрафт)","Яша, иди в паб тренируйся. • Да против нас паб играет, щас за 15 мин пронесем. ",#Геймеры #РПГ #Стратегии #Варкрафт ,от англ. public game — досл. «общественная игра».,NonNone
паблик,публичная открытая группа в социальной сети.,"сущ., м.р ","(интернет, социальные сети)","Айда все в мой паблик посвященный  слэнгам! (шучу, нет такого пока). ",#Общие #Интернет ,public (english) - публичный.,"конфа, группа, форум."
паблос,Паблик; тематическая страница в социальной сети.,"сущ.,м. р. ",(социальные сети),NonNone,#Социальныесети ,NonNone,NonNone
пабо,Пабо/Бабо (바보) - дурак (корейский).,NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
Павелюга,"район Павелецкого вокзала в Москве: сам вокзал станция метро Павелецкая, площадь и тп.","-и, ж. ",(топоним),"Достали уже ремонты эскалаторов на Павелюге!  •  Вопрос наверное глупый, но правда не знаю.где это Павелюга?  • Экспресс с Павелюги.   • Самооборонный ларёк на Павелюге.  • Внешнее Садовое, за Павелюгой.  • Сдавали лыжи на Павелюге. ",#Топонимы ,NonNone,NonNone
Павильонка,"ролевая игра в помещении, см. павильонная игра.","-и, ж. ",(ролевики),NonNone,#Ролевики ,NonNone,NonNone
Павильонная игра,"ролевая игра, которая проводится в павильоне (закрытом помещении) и предполагает наличие интриг и использование игровой информации.",NonNone,(ролевики),NonNone,#Ролевики ,NonNone,NonNone
Павнер,"отличный игрок в компьютерные игры, легко побеждающий соперников.","-а, м. ",(геймеры),"Великие павнеры уже понимают, что кроме ОП чаров команде нужны и не_совсем_ОП_чары.  • О да, пвп павнер в тряпке и без ресалы.  • Вылезая всегда когда не надо и полагаясь на тимплей команды ты настоящий павнер.  • Все карты мультиплеера выучены досконально на уровне спинно-мозговых рефлексов и теперь я суровый павнер 41 левела.  • Главными форумными павнерами как были так и остались те же.  • А если по делу, я не говорю что я омг супер повнер. ",#Геймеры ,NonNone,повнер.
Павнить,побеждать в игре с большим отрывом от соперников.,несов. перех. ,(геймеры),"Мне не нужен опыт что бы павнить таких дигроидов как ты. • Павнить нубов все могут, защита напоминала толпу овец на выпасе.  • Видимо он играл дд классом и его постоянно павнили дестры. ",#Геймеры ,NonNone,NonNone
Пага,страница сайта.,"-и, ж ","(айтишники, интернет, интернет, сеошники)",Они вешают у себя на паге твой баннер. •  На головной паге конфы вечно висять новости.   • Все твои паги очень маленькие и контента нифига нету. ,#Айтишники #Интернет #Сео ,От англ. page —  страница.,NonNone
Паганельки,руки.,"-ек, мн.",NonNone,А паганельки не тонки пасть-то рвать?  • Виноваты в случившемся исключительно паганельки пользователя.  • Паганельки-то убери прочь с самарских! ,#Общие ,NonNone,NonNone
пагода,Буддийский храм.,NonNone,NonNone,NonNone,#Общие ,NonNone,башня капище монета павильон храм.
Падать,"садиться, присаживаться.",несов. неперех.,NonNone,"Давай падай на стул, а то пельмени остынут. •  Ну, падай на скамейку.  •  В ногах правды нет, падай. ",#Общие ,NonNone,NonNone
Падать,"хотеть, стремиться.","-аю, ает, несов. перех.",NonNone,Я падаю на этого парня (этот парень мне нравится). ,#Общие ,NonNone,NonNone
падашол,Антоним слова аташол.,NonNone,NonNone,"- Будешь апельсин?
- Аташол
- Я тебе его почищу 
- Падашол. ",#Общие ,NonNone,NonNone
падашол,"подойти - 
пародия на слово аташел.",NonNone,(копатель онлайн),"- Привет!
- АТАШЕЛ.
- У меня есть билеты на концерт.
- ПАДАШЕЛ. АТДАЛ. АТАШЕЛ. ",#Геймеры ,NonNone,NonNone
Падик,"лестничная клетка, подъезд.",NonNone,NonNone,"Мы с пацанами в падике синячим.  • Для тех кто зимой мёрзнет и даже сразу заходит в падик мол там теплее.  • Я жизнерадостная, веселая девченка, люблю выпить, поржать над кем нить в падике.  •  В падике засели.  • Пошёл к другу из соседнего падика и раздул с ним за это и он сказал точто у них в падике всем звонили а у меня в падике все пепельницы уронили и цветы которые стояли там! ",#Общие ,NonNone,NonNone
Падик,Это подъезд сокращенно падик.,"Сущ., м.р.",NonNone,NonNone,#Гопники ,NonNone,Подъезд.
падик,Не очень продвинутый человек.,"сущ.,м.р ",(жаргон),"Сегодня, наш падик Леня разбил вазу. ",#Общие ,Чисто разговорное происхождение.,тормоз.
падике,смотри падик.,наречие,NonNone,NonNone,#Общие ,NonNone,NonNone
падики,Подъеезд.,NonNone,(гопота),Вся гопота тусуется в падике. ,#Гопники ,NonNone,NonNone
падла,женщена с маразмом.,"сущ., ж. р. ",(падонки),ну ты и падла. ,#Общие ,так повелось.,"падлюка, падлотень."
Падонаг,см. падонак.,"-га, м. ",(каменты),NonNone,#Падонки ,NonNone,NonNone
Падонак,Носитель субкультуры падонкаф.,"-ка, м. ",(каменты),NonNone,#Падонки ,NonNone,падонаг.
Падонки,одно из названий носителей молодежной субкультуры каментов или олбанского языка.,м. мн. ч. ,(каменты),NonNone,#Падонки ,NonNone,NonNone
падонок,см падонак.,NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
Падружаня,Подруга.,Сущ ,(Гопники),NonNone,#Общие ,NonNone,NonNone
Падрыга,намеренное ироническое искажение слова «подруга».,"-и, ж.",NonNone,"Лаешка, падрыга, любимая!  • У меня падрыга, не умеет рисовать.  • Ну зачем нам тваи падрыги, давай подруг твоей барышни.  • А у меня все падрыги прав наполучали, а на машину денег ни фига нет.  • Сначала прочитайте обо мне и задумайтесь, стоит ли добавлять меня к себе в падрыги и лазить по моему миру.  • Все мои разлюбезные падрыги разьехались кто куда. ",#Общие ,NonNone,NonNone
падстулом,"Что-то очень смешное, заставляющее очень сильно хохотать.",наречие ,(любители смотреть видео в youtube),Я падстулом. ,#Общие ,"сокращенное от ""под стулом"".","падстолом, ржунимагу."
Пажизни,"всегда, постоянно.",нареч.,NonNone,Он пажизини одни и те же сиги курит. ,#Общие ,Искаж. по жизни.,"пожизни, по жизни"
Пажощще,"указывает на усиление воздействия, на увеличение плотности (звука, суровости обстоятельств и т.п.).",наречие ,(каменты),"Слышь, Шумный, поговори с этим окробатом пажощще!  •  И пажощще, пажощще, не нервируй меня!  • Люблю когда пажощще.  • Довай трофорет пажощще!  • Нам надо пажощще.  • Кстати пажощще имхо чем прошлый раз. ",#Интернет ,Искажен. «пожёстче».,NonNone
Пазер,Пазер - человек который носит топ шмот и выпендривается перед всеми.Также пазер катается на скейте для понтов.,NonNone,(Пазер или скейтер?),Пазер или скейтер? ,#Общие ,"от Позировать, поза.",позер
Пазний,"Автомобиль ИЖ 412 (в версии 028ИЭ), самых поздних выпусков (вплоть до начала 2000-х).","сущ., м. р. ",(Авто),Пазний Иж - гнилой с завода. ,#Автолюбители ,"Искаженное написание слова ""Поздний"", связанного с годами выпуска данного авто.","Иж, Москвич (в значении автомобиль)."
