name,definition,type,group,examples,hashtags,story,synonims
р34,"Rule 34/Правило 34 - «Если это существует — про это уже есть порно» — распространенный мем о том, что в сети Интернет существует порнографическая интерпретация на любую распространенную тему.",Сущ. ,(Соц.сеть),"
р34
р34

",#Социальныесети ,NonNone,NonNone
Раб пепла,"Человек, не разбирающийся в лоре какой-либо медиа-вселенной, но при этом считающий себя умнее других в этой сфере.","Существительное, м.р. ",(Геймеры),"-Вот что за раб пепла, ни в чём не разбирается...
-Не будь рабом пепла, ты же ведь давно увлекаешься этой медиа-вселенной. ",#Геймеры #школьники ,Сообщество фанатов вселенной The Elder Scrolls. Так называли мобов в TES 3: Morrowind.,"Неадекват, идиот, малолетка."
Работать на контору,"работать на постоянной работе, в отличие от фрилансера.",NonNone,NonNone,"Сам работал на себя, но пришлось работать на контору.  • Если будете работать на контору, вас там бесплатно научат.  • Недавно пришёл работать на контору как сисадмин.  • В общем стало поднадоедать работать на контору.  • Фотограф может фрилансить, работать на контору и на выходных снимать торжества.  • В случае необходимости он готов работать на контору даже по ночам. ",#Общие ,NonNone,NonNone
Работнуть,"поработать, совершить кратковременную одноразовую работу, часто в смысле разового контракта фрилансера.",сов. неперех.,NonNone,"Вот я впервые сел вечером за комп работнуть.  • А вот пожарным все-таки случилось работнуть.  • На работе предложили работнуть на нашего субподрядчика.  • Если еще актуально можно работнуть, вопрос в цене работы.  • Работнуть денек-другой мужичкам не слабо.  • Разностороний и интересный, знающий когда побездельничать, а когда и работнуть.  • На этой недели пришлось работнуть в блоге.  • Неужели никому не хочется работнуть? Здесь за это еще и деньги платят! ",#Общие ,NonNone,NonNone
рабочий стол,Первая и самая главная страница операционной системы.,"сущ., м.р. ","(пользователи, айтишники)",-У меня очень сильно засорён рабочий стол. ,#Интернет #Айтишники ,"Первой операционной системой является Multics (которая похожа на linux), но рабочего стола на нём не было. Первый рабочий стол появился на операционной системе MS-Dos.",главный стол.
Рав,"оригинал, исходник видео: необработанный, «не обжатый» видеофайл максимального качества (и, соответственно, очень большого размера).","-а, м. ",(айтишники),"Я не пойму, это рав или нет?  • Третью неделю ищу равки по «Хост-клубу Оранской школы», если есть у кого - скиньте, пжл!  • Эта фансаб-группа постоянно дико каверкает равы, смотреть невозможно!  • Я вчера обрабатывал РАВ 2 часа.  • Лучше создать ФС в файле (наверное, все-таки, равку) и спокойно себе монтировать её. ",#Айтишники ,"От  названия видеоформата raw, от англ. raw - необработанный.","равка, raw"
Рав,аниме с японской озвучкой без какого-либо перевода; сканы манги и додзинси на японском языке без какого-либо перевода.,NonNone,(аниме),NonNone,#Аниме ,Англ. raw — необработанный.,NonNone
рагнарок,"Событие, при котором гибнут скандинавские боги.","сущ., м.р. ",(Скандинавия),NonNone,#Общие ,Скандинавия.,судьба богов.
Рагуль,"некультурный, необразованный человек, недотёпа, простофиля.","-ля, м. ",(обзывательство),"Ты что, рагуль? Какого туда полез?  • Ну ты и рагуль, скажу я тебе!  • Рагуль это почти как быдло. Но быдло не обязательно является рагулями, а вот рагули всегда стопроцентное быдло.  • Во Львове рагулем называю выходца из села, приехавшего в город, но в быту оставшегося селюком.  • Некий интервал из последних дней своей жизни, я вел себя, как полный рагуль. ",#Общие ,NonNone,"балда, быдло."
рагульё,Упоротый украинец-селянин.,рагуль ,(упоротые),NonNone,#Общие ,NonNone,NonNone
Рада,"молодёжная субкультура, см. радо.",нескл. ,(неформалы),NonNone,#Общие ,NonNone,NonNone
Радо,молодёжная субкультура и неформальное течение.,нескл. ,(неформалы),"К каждому отношусь по своему, к готам страшно, эмо всё равно, но ПаЗитИвОв обожаю, а сама я Радо.  •  РАДО —  это как раз те люди которые всё время на «позитиффчке». • Много подростков стали радо из-за того, что они хотят чтобы жизнь была разноцветной.  • Я уже всё перепробовала (ну по4ти). И эмо была и радо... щас я ска. ",#Общие ,"От русского слова радость, также ассоциируется с радугой, как символом оптимизма.","рада, rado, RADO, РАДО"
Радокид,носитель субкультуры радо.,"-а, м. ",(неформалы),"Ты не эмо, ты радокид! • Как по вашему (внешне) РАДОкид должен отличаться от остальных????  • RADOkids - люди, живущие позитивом. Они стараются никогда не грустить и поднимать настроение окружающим.  • По мне пусть лучше по улице шагают RADOkids!!! Ёхооуууу! ",#Общие ,NonNone,"радакид, РАДОкид, radokid, radokids"
радуга,"Радуга — атмосферное, оптическое и метеорологическое явление.",существительное,NonNone,NonNone,#Общие ,NonNone,NonNone
Радужный,Описание человека с нетрадиционной сексуальной ориентацией.,"сущ., м.р",NonNone,NonNone,#Общие ,NonNone,NonNone
Разбежаться на пеньке,"размечтаться, составить невыполнимый план, вообразить что-то невозможное.",NonNone,NonNone,"Конечно, разбежался на пеньке, так его легко никто не отпустит.  • Эх, а мы разбежались на пеньке. Думали, как раз сегодня нам часок был бы очень по делу.  • Как же - держи карман шире, разбежались на пеньке.  • Ишь тут, разбежались на пеньке.  • Разбежался на пеньке. Если это не провокация, то он спятил. ",#Общие ,NonNone,NonNone
Разблюдовка,"перечень блюд, ресторанное меню.","-и, ж.",NonNone,"Разблюдовка юзеров ЖЖ по странам и штатам.  • Разблюдовка штрафов вообще и по срокам вступления в силу законов.  • Разблюдовка тарифов, которая висит внутри салона такси.  • Пришла разблюдовка за квартиру, читаю: количество проживающих 0, льгот 0.  •  Разблядовка контактов этого разъёма.  • Далее идет разблядовка какое масло лить и куда и сколько литров.  • Текущее потребление, разблядовка по разным тарифам — ночному-дневному. ",#Общие ,NonNone,разблядовка
Разбодяжить,разбавить качественный продукт сделав его более низкосортным с мошеннической целью.,сов. перех.,NonNone,"Неужели и бревно можно разбодяжить чтоб кубометр разбух?  • Пусть будет стыдно тому кто хочет купить по 40р за кг. чтоб разбодяжить сахар и впарить по 150р. под видом мёда.  • Сорок долларов за грамм – это, считай, подарок, ведь в розницу тот же грамм может стоить все четыреста, если, конечно, правильно разбодяжить его.  • Если разбодяжить масло растительными жирами (например, пальмовым маслом), сухим молоком и т. д., можно сэкономить до 80% производственных затрат! ",#Общие ,NonNone,NonNone
Разборка,выяснение отношений.,NonNone,"(хиппи, гопники)",NonNone,#Хиппи ,NonNone,NonNone
Разборка,драка между криминальными группировками.,"-и, ж. ",(гопники),"Кровавая разборка банды Петербургской братвы.  • Уличные разборки — ключ к захвату новых территорий.  • Здесь орудовали самые жестокие банды, устраивающие разборки по ночам в парке и шныряющие по подворотням всего района.  • Пацаны устроили разборку возле стройки.  • Разборка на улице - пацаны дерутся. ",#Гопники ,NonNone,NonNone
Развалякаться,"разлечься, лечь, развалиться в смысле лежать в вольной расслабленной позе.",сов. неперех.,NonNone,"(1) Пляжник развалякался на шезлонге.  • Люблю держать любимую книгу в руках, развалякавшись с ней на диване.  • Ещё можно на полу развалякаться, когда жарко.  • Развалякался на постельке, и балдеет!  • Выходишь к бассейну, а они уже повсюду развалякались и нежатся под солнцем.(2) Команда в которой я доселе был, развалякалась, из-за того что у одного человека нет времени играть в двух командах.  • «Эврика» два года назад как при совке еще существовала и КЮТ «Фрунзенец», а вот в вильний и незалезний просто развалякалось.  • Борщ сильно кипеть не должен ни в коем случае, иначе картошка развалякается.  • У меня таким шлепным майонезиком однажды кааак развалякалось усё. ",#Общие ,NonNone,NonNone
Развести,"надуть, обмануть.",сов. ког-л. на что-л.,NonNone,"Вас определенно решили развести либо на деньги либо на услуги. • Брошюру, рабочее название которой «Самые популярные способы «развести» вас на отдыхе», намерены выпустить сотрудники крымской милиции.  • Как развести лоха. •  Развести можно запросто просто заплатив только за себя и предав счет девушке чтобы платила за себя сама или  сделать морду кирпеча и не платить за себя вовсе.  •  Как развести немеряно мажорскую телку?? ",#Общие ,NonNone,NonNone
развидеть,Забыть только что увиденное (калька с англ.,глагол ,"(Интернет, общеупотребительное)","Сделайте меня развидеть это (калька с англ. Make me unsee this) - 
Хочу это развидеть! ",#Общие ,NonNone,NonNone
развиртуализация,открытие своего реального имени вместо игрового персонажа.,"сущ., м.р ","(интернет, социальные сети)",NonNone,#Общие #Интернет ,NonNone,деанон.
Развис,восстановление работоспособности компа или другого девайса после  зависания.,сов. перех. ,(айтишники),"Комп завис... О, теперь развис! ",#Айтишники ,NonNone,NonNone
развлекуха,всякое пустое развлечение.,"сущ., м.р",NonNone,NonNone,#Общие ,NonNone,NonNone
Развод,"Обман, мошенничество.","-а, м.",NonNone,NonNone,#Общие ,См. разводить.,NonNone
разводила,"Развести-обмануть,к инуть.",Существительное ,(Подростки),"Серый нас кинул!
или Давай этого лоха разведём. ",#Общие ,NonNone,Кидалова.
Разводить,"Обвести вокруг пальца, обмануть.",несов. перех. ,(разг.),"1. Развели как маленького, а я и поверил!  2. Давай разведем парней на выпивон. ",#Общие ,NonNone,"(для 1)  надуть, наколоть, облапошить.."
Разводить бадягу,"Заводить пустой разговор, бессмысленные объяснения как правило с целью увести тему разговора от нежелательных моментов.",уст. выр. ,(разг.),"Я его прямо спрашиваю, а он мне бадягу разводит. ",#Общие ,NonNone,NonNone
Разводка,"мошенническое принуждение покупателя купить что-то ненужное или по завышенной цене, или вообще не существующее.","-и, ж.",NonNone,"Разводка пациента на деньги или гипердиагностика?  • Система разводок водителей на деньги.  •  Решив приобрести новую машину в автосалоне, покупатель нередко наивно полагает, что уж здесь-то ему не грозят разного рода «разводки».  • Обнови фаерфокс за деньги (очередная разводка для лохов).  • Уличная разводка на деньги.  • Полезная информация о Вьетнаме: разводки и мошенничества. ",#Общие ,NonNone,NonNone
Разводы,Вранье.,NonNone,NonNone,NonNone,#Общие ,NonNone,отловы.
Разводяга,"вид кухонной посуды — половник, черпак, большая ложка для раздачи пищи порциями.","-и, м.",NonNone,"Из большой кастрюли половником – «разводягой» наливают щи, накладывают кашу. • Тут же шваркнул его разводягой в лоб.  • Не зря в армии поварешка называется разводягой.  • Солдат, сидящий посередине (третий с краю), поварёшкой (разводягой) разливает всем первое.  • Серёжа начинает колбасить большой разводягой по артиллерийской гильзе.  • Разводяга была у меня в руках, и я приступил к разливу по тарелкам издающей пьянящий запах янтарной шурпы.  •  А старичок подходит к первому столу, берет разводягу и так это медленно начинает крутить в бачке с супом. ",#Общие ,NonNone,NonNone
