name,definition,type,group,examples,hashtags,origin,synonyms
С какого перепугу,"почему бы, отчего бы, с чего бы это вдруг.",NonNone,NonNone,С какого перепугу меня сняли?!  • С какого перепугу вы вообще забабахали развязку!  • Бред! С какого перепугу?  • Работа бесплатно - с какого перепугу?  • И с какого перепугу доллары исчезнут?! ,#Общие ,NonNone,NonNone
С понтом,"как бы, как будто; о чем-то, изображающим себя не тем, что есть.",NonNone,NonNone,"Он сказал: «я зайду», с понтом остаться.  • С понтом говорил всем, что главный и радеющий всем сердцем за развитие.  • Некоторые понтуются, что читают классику, а есть и те, кто с понтом не читает.  • Наш обком торговал государственными домами, с понтом они кооперативные.  • Ну, а времечко летит, мое времечко, / А я ж на нарах, с понтом на каруселечке. ",#Общие ,NonNone,NonNone
С.С.Ж.В.,Смерть Сукам Жизнь Ворам.,NonNone,NonNone,NonNone,#Тюремныйслэнг ,NonNone,NonNone
Сøски,"Группа людей вконтакте, люди из клики с определённо хорошим юмором.","Сущ., мн.ч. ",(Клика),Мы сøски. ,#Социальныесети ,От русск. Сосок.,sozki.
Саб,Подписчик на какой-либо интернет ресурс.,сущ. м.р ,"(Интернет, видеоблогинг)",У меня на канале 2000 сабов. ,#Интернет ,"от анг. ""subscribe""- подписываться.",сабскрайб.  Сабы.
саб,Центральный басс-динамик для проигрывания низкочастотной музыки.,существительное ,(аудиофилы),Басы ваще офигенные саб качают зачетно! ,#Музыка ,сабвуфер.,"динамик, сабвуфер."
Саб Двач,"Саб Двач - Привет, ребята.
By Стримерша Карина.",NonNone,(Карина Стримерша),NonNone,#Селеблити-Звезды #Социальныесети ,Стримерша Карина.,NonNone
Сабаба,круто.,наречие,NonNone,— Как дела? — Сабаба! ,#Общие ,Присходит из языка иврит.,"мазёво, мазяво."
саббер,"Человек, занимающийся подготовкой субтитров для аниме.",NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
Сабер,Класс персонажа Аниме или Манги или игры означающий мечник.,"сущ., м. р. ","(Аниме, Игры, Манга)",Воин класса Сабер. ,#Геймеры #Аниме ,NonNone,Мечник.
Сабж,"содержание графы «Тема» в заголовках электронных писем, сообщений в форумах и т.п.","-а, м. ","(интернет, фидошники)","Сабжевый альбом вобще слив имхо (мнение по поводу альбома, название которого вынесено в графу «Тема»).  • Собственно сабж 6 недель 2 дня назад.  • Продам сабж трехстворчатый.  • Моё мнение о сабже. ",#Интернет #Фидо ,"Англ. subject — предмет, тема.","сабжект, subj"
Сабж,"какой-либо объект, упоминаемый выше.","-а, м.",NonNone,"Котенок, качественный, укомплектован. Сабж имеет функции мочеиспускания, лежания на телевизоре. ",#Общие ,"От англ. subject — тема, предмет разговора.",сабжект
саблю точить,Процесс самоудовлетворения у мужчин.,NonNone,(жиза),"Вася уже 3 минуты, как саблю точит. ",#Общие ,NonNone,"мастурбировать, онанировать, гонять лысого, душить змея, передёргивать затвор, фапать, дрокать, дрочить."
Сабля,"деталь подвески, растяжка, используется в автомобилях «ВАЗ».","-и, ж. ",(автолюбители),"Я вчера саблю снимал.  • Залезь под машину и затяни все гайки рычагов, саблей, крабов и зашиты.  • Шкив гены или колена цепляет за саблю и искрит.  • Да, этот самый шкив, пыльник к нему прижимает «сабля» продольный рычаг подвески) на кочках.  • При торможении сабля давит на втулку. ",#Автолюбители ,NonNone,NonNone
сабмит,(англ.,NonNone,NonNone,NonNone,#Общие #Интернет ,NonNone,NonNone
сабмишн,отправка данных по интернету.,"сущ., ж. р. ",(интернет),NonNone,#Общие #Интернет ,NonNone,NonNone
Сабы,субтитры.,"-ов, мн. ",(аниме),Список аниме к которым редактировались сабы.  • Сабы к аниме своими руками.  • Смотря какая озвучка и какие сабы.  • Настоящие аниме фанаты должны смотреть аниме с русской озвучкой. Если ты смотришь аниме с сабами — ты ненормальный. ,#Аниме ,NonNone,NonNone
сава,привет.,сущ. ,(все),NonNone,#Общие ,NonNone,NonNone
Савок,"Савёловский рынок  в Москве (официальное название «Торговый комплекс ""Савеловский""»), пользуется пособой популярностью у любителей компьютерного железа и аксессуаров, бытовой электроники и т.п.","-ка, м. ",(топоним),"Поехали на Савок, Митяй, купим тебе новый КПК.  • На Савке видел недавно дешёвый винт, под твой бы комп его взять!  • В Москве на Савке купил кабель для связи своего мобильного телефона Nokia 3510i с компьютером.  • Эверкуловский кулер для ксеонов (куплен за 400р. на савке) - на память напилены радиаторы (куплены на савке за 100р.). ",#Топонимы ,NonNone,NonNone
Сага,"История, рассказ.",NonNone,NonNone,У меня такая же сага... ,#Общие ,NonNone,NonNone
Саго,"Благодарность, переводится как 
""Спасибо"".",NonNone,(Спасибо),"Красивая
- саго, брат. ",#Общие #Интернет ,NonNone,NonNone
Садака,"милостыня, благотворительность в исламе.",нескл.,NonNone,"Лучше всего отдавать садака нуждающимся родственникам.  • В более широком смысле, садака - это любое благодеяние, совершенное искренне, ради Аллаха.  • Садака указывает на искренность веры того, кто подает ее. ",#Общие ,"От арабского صدقة, означающего ровно то же самое.",NonNone
Сайдинг,"пластиковая декоративная облицовка  наружной поверхности домов, состоит из сборных элементов — фигурных пластин, стыкующихся между собой.","-а, м. ",(строительн.),"Дом, облицованный сайдингом, смотрится очень нарядно.  • С сайдинга  легко удаляются загрязнения, в том числе и граффити.  • Облицовка сайтингом становится более популярной. ",#Общие ,"Америк. siding — наружная обшивка, внешнее покрытие.",сайтинг
Сайкобилли,"жанр рок-музыки, синтез психоделического  панк-рока и  «белого рок-н-ролла» (рокабилли).",нескл ,(муз.),Грядёт грандиозное событие — сайкобилли-фестиваль.  • Сайкобилли с блэкмиталом какие-нибудь наркоманы скрещивали уже?  •  Хочу на сайкобилли опенэйр! ,#Музыка ,Англ. Psychobilly сложносоставн.  от Psychodelic + Rockabilly.,NonNone
сайленс,"заклинание, которое запрещает вражескому герою использовать свои способности в игре Дота 2.","сущ., м.р ","(игры, геймеры)",NonNone,#Геймеры #РПГ ,NonNone,NonNone
Сайн,"картинка в интернете, где человек, делающий сайн, изображён с ником заказчика (человека попросившего сделать сайн).","-а, м. ","(социальные сети, напр. ВКонтакте, MySpase, facebook)",Сделай мне пожалуйста сайн. Обещаю ответку. ,#Интернет ,NonNone,"сигн, сигна."
Сайонара,"прощай, при прощании.",нескл. ,(аниме),"Ладно, до завтра, сайонара!  • Сайонара Гена!  • Сайонара, друзья...  • Всем сайонара, уезжаю на моря и незнаю когда вернусь. ",#Аниме ,"Яп. フェアウェル, означающее ровно то же самое.","саёнара, саёнаро"
Сайра,автомобиль «Toyota Soarer».,"-ы, ж. ",(автолюбители),"Какова экспертная оценка затрат на установку АБС на сайру?  • Скорп и Сайра заднеприводные, за исключением 4Х4.  • На сайре автомат одно целое с водителем.  • Теперь этот двигатель еще будет бегать на какой-то Сайре. ",#Автолюбители ,NonNone,NonNone
сайс,"красивый, классный.",прилагательное,NonNone,ты просто сайс. ,#Общие ,NonNone,супер.
Сайтовщик,"человек который создает сайты, вебмастер.","-а, м ","(айтишники, интернет)","Пришел заказ, - сказал Дмитрий. Сайтовщик Роман взялся за работу.  • Сайтовщик – автор – читатель.  • Слышали уже, как сделали зарплату сайтовщику горсовета в 15 тыс.  •  В банках например есть спрос на С++ у сайтовщиков PHP,  JScript. ",#Интернет #Айтишники ,NonNone,"вебмастер, веб- верстальщик."
сака,моча человека.,моча человека ,(моча),ты че саку не убрал. ,#Общие ,санье.,моча.
сакральное,"Священное, божественное, великое.",прил,NonNone,NonNone,#Общие ,Сакральное — это калька с английского sacral.,NonNone
Сакральный,"недоказуемый рационально, принимаемый только на веру, иногда в смысле мистический, сверхъестественный.","-ая, -ое, -ые",NonNone,"Действительно, в том месте есть сакральная сила.  • На концерты пришли не только любители сакральной музыки.  •  Откуда взялось сакральное число 54?  • Я ведь не тру (ещё одно сакральное слово нынешних неформалов) эмо/гот/панк. А хочу быть тру!  • Источником этого знания часто служат разного рода тайные знаки, признаки и вещие сны, - что подчеркивает его мистический, а потому непререкаемый, сакральный характер. (Т.Щепанская).  • Традиция сакрального танца широко распространена в Европе как направление танцевальной терапии. •  Была идея создать сакральный центр государства на его границе.  • Сакральный смысл герба нашего Российского. ",#Общие ,Лат. sacrum — священный.,NonNone
Сакс,"возглас выражения неодобрения, оценка ситуации, как плохой.",междометие и предикатив,NonNone,"Эмо — это сакс!  • Виндовс сакс!  • Блин, погода сакс! Так холодно!  • Неформал это форэва, яппи сакс.  • Ничего умнее «пиво рулез, фанта сакс» сказать не можете!  • Позёры, сакс!  • Кристиан Бейл конечно клевый актер но фильм сакс!  • Трэк сакс! Можно было бы сделать и лучше!  • Фaйлы пoтёpлa!!! Cукc!! • Книга не понравилась... сукс! ",#Общие ,Англ. одно из значений слова sucks — выражение презрения.,"сукс, саксь, суксь"
саксаул,"Выходец из стран Средней Азии, гастарбайтер (презр.).","сущ., м. р. ","(националисты, скины)",Там какие-то саксаулы у подъезда трутся. ,#Общие ,"От названия дерева, которое произрастает в Средней Азии, + фонетическое сходство со словом ""аксакал"".",чурка.
Сакура-цян,анимешники и те кто сматрел Аниме.,NonNone,NonNone,пагади саске-кун не аставляй меня адну. ,#Аниме ,ИЗ АНИМЕ.,ЦЯН.
Салабон,то же что салага  — новобранец в армии.,"-а, м. ",(армия),"В нашем взводе служил «салабон» по фамилии Поликарпов.  • Ни один салабон не смеет взять себе хлеб, масло, сахар, вечером кусочек рыбы, пока не возьмут себе старослужащие.  • А бригадир Саня был после армии и воспринимал меня как салабона. • Я ведь духом-то перестал быть всего недели две назад, когда в часть прибыли свеженькие солобоны. ",#Общие ,NonNone,солобон
Салабонистый,"хилый, слабый, мелкий.","-ая, -ые",NonNone,"(1) Салабонистого вида Никитка.  • Глядя по ТВ на салабонистых малолеток...  • Появился салабонистый лучик надежды.(2) Совершенно салабонистый вид летуна, отрекомендованного как лучший штурман полка, доверия не внушал.  • Стоит дядя охранник, здоровый с пониманием мужчина, а перед ним гопота мелкая салабонистая. ",#Общие ,NonNone,NonNone
Салага,"новобранец в армии, только призванный, служащий первые полгода, до следующего призыва, когда салагами станут вновь призванные.","-и, ж. ",(армия),"Не кисни, салага, служи веселей!  • Раньше мы два года служили сначала салага через полгода молодой через год черпак через 1,5 года дед.  • Этот номер автомата и противогаз /Я дарю тебе, салага, уходя в запас.  • Ему приходилось объяснять элементарные вещи, поначалу он даже не понимал отличия между салагами и дедами. ",#Общие ,NonNone,салабон.
Саладин,Очень сильный человек.,NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
С какого перепугу,"почему бы, отчего бы, с чего бы это вдруг.",NonNone,NonNone,С какого перепугу меня сняли?!  • С какого перепугу вы вообще забабахали развязку!  • Бред! С какого перепугу?  • Работа бесплатно - с какого перепугу?  • И с какого перепугу доллары исчезнут?! ,#Общие ,NonNone,NonNone
С понтом,"как бы, как будто; о чем-то, изображающим себя не тем, что есть.",NonNone,NonNone,"Он сказал: «я зайду», с понтом остаться.  • С понтом говорил всем, что главный и радеющий всем сердцем за развитие.  • Некоторые понтуются, что читают классику, а есть и те, кто с понтом не читает.  • Наш обком торговал государственными домами, с понтом они кооперативные.  • Ну, а времечко летит, мое времечко, / А я ж на нарах, с понтом на каруселечке. ",#Общие ,NonNone,NonNone
С.С.Ж.В.,Смерть Сукам Жизнь Ворам.,NonNone,NonNone,NonNone,#Тюремныйслэнг ,NonNone,NonNone
Сøски,"Группа людей вконтакте, люди из клики с определённо хорошим юмором.","Сущ., мн.ч. ",(Клика),Мы сøски. ,#Социальныесети ,От русск. Сосок.,sozki.
Саб,Подписчик на какой-либо интернет ресурс.,сущ. м.р ,"(Интернет, видеоблогинг)",У меня на канале 2000 сабов. ,#Интернет ,"от анг. ""subscribe""- подписываться.",сабскрайб.  Сабы.
саб,Центральный басс-динамик для проигрывания низкочастотной музыки.,существительное ,(аудиофилы),Басы ваще офигенные саб качают зачетно! ,#Музыка ,сабвуфер.,"динамик, сабвуфер."
Саб Двач,"Саб Двач - Привет, ребята.
By Стримерша Карина.",NonNone,(Карина Стримерша),NonNone,#Селеблити-Звезды #Социальныесети ,Стримерша Карина.,NonNone
Сабаба,круто.,наречие,NonNone,— Как дела? — Сабаба! ,#Общие ,Присходит из языка иврит.,"мазёво, мазяво."
саббер,"Человек, занимающийся подготовкой субтитров для аниме.",NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
Сабер,Класс персонажа Аниме или Манги или игры означающий мечник.,"сущ., м. р. ","(Аниме, Игры, Манга)",Воин класса Сабер. ,#Геймеры #Аниме ,NonNone,Мечник.
Сабж,"содержание графы «Тема» в заголовках электронных писем, сообщений в форумах и т.п.","-а, м. ","(интернет, фидошники)","Сабжевый альбом вобще слив имхо (мнение по поводу альбома, название которого вынесено в графу «Тема»).  • Собственно сабж 6 недель 2 дня назад.  • Продам сабж трехстворчатый.  • Моё мнение о сабже. ",#Интернет #Фидо ,"Англ. subject — предмет, тема.","сабжект, subj"
Сабж,"какой-либо объект, упоминаемый выше.","-а, м.",NonNone,"Котенок, качественный, укомплектован. Сабж имеет функции мочеиспускания, лежания на телевизоре. ",#Общие ,"От англ. subject — тема, предмет разговора.",сабжект
